year,month,airline
1969,September,Aeroflot
1969,November,Dominicana
1969,November,TWA
1969,December,Boeing
1969,December,Douglas
1969,December,Philippine Air Lines
1970,January,Spantax
1970,February,Aerolíneas Argentinas
1970,February,Hawker Siddeley
1970,February,TAROM
1970,February,Aeroflot
1970,February,Dominicana
1970,March,Douglas
1970,March,Swissair
1970,April,Eastern Air Lines
1970,April,Douglas
1970,May,Japan Airlines
1970,July,Boeing
1970,July,Aeroflot
1970,July,Philippine Airlines
1970,August,Hawker Siddeley
1970,August,ALM
1970,September,Douglas
1970,September,Overseas National Airways
1970,September,Dan-Air
1970,September,Air Canada
1970,September,Douglas
1970,October,Flying Tiger Line
1970,October,Douglas
1970,November,LANSA
1970,November,Lockheed
1971,January,Aeroflot
1971,January,Indian Airlines
1971,January,Aeroflot
1971,March,Aeroflot
1971,May,Aviogenex
1971,June,Hughes Airwest
1971,June,Douglas
1971,July,Douglas
1971,July,Toa Domestic Airlines
1971,July,Aeroflot
1971,July,All Nippon Airways
1971,August,Boeing
1971,September,Pan Am
1971,September,Boeing
1971,September,Malév
1971,October,Alaska Airlines
1971,October,Boeing
1971,November,Paninternational
1971,November,Malév
1971,November,British European Airways
1971,November,Aeroflot
1971,December,Merpati Nusantara
1971,December,Aeroflot
1972,January,Iberia
1972,January,Turkish Airlines
1972,January,JAT
1972,February,Douglas
1972,March,Lufthansa
1972,March,Boeing
1972,March,Mohawk Airlines
1972,May,Sterling Airways
1972,May,Emirates
1972,May,EgyptAir
1972,May,Douglas
1972,June,Alitalia
1972,June,Douglas
1972,June,Eastern Air Lines
1972,June,Boeing
1972,June,Eastern Air Lines
1972,June,Sabena
1972,July,Boeing
1972,August,Aeroflot
1972,August,American Airlines
1972,August,Douglas
1972,September,Japan Airlines
1972,October,Douglas
1972,October,Cathay Pacific
1972,October,British European Airways
1972,October,Hawker Siddeley
1972,October,Prinair
1972,October,Air Wisconsin
1972,November,Pan Am
1972,November,Boeing
1972,December,Interflug
1972,December,Burma Airways
1972,December,Douglas
1972,December,Aeroflot
1972,December,Japan Airlines
1972,December,Douglas
1972,December,Aeroflot
1973,January,Aeroflot
1973,January,Boeing
1973,January,EgyptAir
1973,February,Aeroflot
1973,February,Libyan Arab Airlines
1973,February,Boeing
1973,March,Aeroflot
1973,March,Balkan Bulgarian
1973,April,Iberia
1973,May,Douglas
1973,May,Spantax
1973,May,Invicta International Airlines
1973,June,Aeroflot
1973,June,Aeroflot
1973,July,Indian Airlines
1973,July,Boeing
1973,July,Royal Nepal Airlines
1973,July,Royal Nepal Airlines
1973,July,Aeroméxico
1973,August,Douglas
1973,August,Varig
1973,August,Boeing
1973,August,Pan Am
1973,September,Boeing
1973,September,Japan Air Lines
1973,September,Boeing
1973,September,Boeing
1973,October,Ozark Air Lines
1973,November,Delta Air Lines
1973,November,Douglas
1973,November,Aviaco
1973,November,Aeroflot
1973,December,Aerocondor
1973,December,Lockheed
1973,December,TWA
1973,December,Boeing
