,year,month,airline
403,1964,November,Lockheed
404,1964,November,American Airlines
405,1964,November,Boeing
406,1964,December,Boeing
407,1965,January,Aeroflot
408,1965,February,LAN Chile
409,1965,February,Douglas
410,1965,March,Eastern Air Lines
411,1965,March,Douglas
412,1965,April,Pan Am
413,1965,May,Boeing
414,1965,May,Aeroflot
415,1965,July,Lisunov Li-2
416,1965,July,Aeroflot
417,1965,July,British United Airways
418,1965,July,Douglas
419,1965,August,Iberia
420,1965,September,Lockheed
421,1965,October,PIA
422,1965,November,Boeing
423,1965,November,Continental Airlines
424,1965,November,Boeing
425,1965,December,Canadian Pacific Air Lines
426,1966,January,Avianca
427,1966,January,Douglas
428,1966,January,Air India
429,1966,February,Boeing
430,1966,February,Lufthansa
431,1966,February,Pakistan International Airlines
432,1966,February,All Nippon Airways
433,1966,March,Boeing
434,1966,March,Aeroflot
435,1966,March,Aeroflot
436,1966,April,Canadian Pacific Air Lines
437,1966,April,Douglas
438,1966,April,BOAC
439,1966,June,Boeing
440,1966,July,United Arab Airlines
441,1966,August,American Flyers Airline
442,1966,September,Lockheed
443,1966,September,Aeroflot
444,1966,October,LANSA
445,1966,November,Lockheed
446,1966,November,Hawker Siddeley
447,1966,November,Air New Zealand
448,1966,December,Douglas
449,1967,January,Aeroflot
450,1967,February,Garuda Indonesian Airways
451,1967,February,Lockheed
452,1967,March,Philippine Airlines
453,1967,March,Lake Central Airlines
454,1967,March,Varig
455,1967,March,Douglas
456,1967,March,TWA
457,1967,March,Douglas
458,1967,April,South African Airways
459,1967,April,Delta Air Lines
460,1967,June,Douglas
461,1967,June,Air Algérie
462,1967,June,Globe Air
463,1967,June,Air Ferry
464,1967,July,Douglas
465,1967,July,British Midland
466,1967,September,Mohawk Airlines
467,1967,October,Thai Airways
468,1967,November,Philippine Airlines
469,1967,November,Boeing
470,1967,November,Cessna
471,1967,November,ČSA
472,1967,December,Cyprus Airways
473,1967,December,Iberia
474,1968,January,Aeroflot
475,1968,February,Civil Air Transport
476,1968,February,Boeing
477,1968,March,Aeroflot
478,1968,March,Air France
479,1968,March,Boeing
480,1968,April,Aer Lingus
481,1968,April,Ozark Air Lines
482,1968,May,Douglas
483,1968,May,Cessna
484,1968,May,Cessna
485,1968,July,BOAC
486,1968,July,Boeing
487,1968,July,South African Airways
488,1968,August,Boeing
489,1968,August,Braniff
490,1968,September,Lockheed
491,1968,October,Los Angeles Airways
492,1968,November,Garuda Indonesia
493,1968,November,Douglas
494,1968,December,BKS Air Transport
495,1968,December,British European Airways
496,1968,December,El Al
497,1968,December,British Eagle
498,1968,December,Los Angeles Airways
499,1969,January,Ariana Afghan Airlines
500,1969,January,Boeing
501,1969,January,Scandinavian Airlines
502,1969,January,Douglas
503,1969,February,United Airlines
504,1969,February,Boeing
505,1969,March,Douglas
506,1969,March,Far Eastern Air Transport
507,1969,March,Prinair
508,1969,April,Viasa
509,1969,April,Douglas
510,1969,June,United Arab Airlines
511,1969,June,LOT
512,1969,June,LAN Chile
513,1969,August,Boeing
514,1969,September,Mexicana de Aviación
515,1969,September,Boeing
516,1969,September,Aeroflot
517,1969,November,Dominicana
518,1969,November,TWA
519,1969,December,Boeing
520,1969,December,Douglas
521,1969,December,Philippine Air Lines
522,1970,January,Spantax
523,1970,February,Aerolíneas Argentinas
524,1970,February,Hawker Siddeley
525,1970,February,TAROM
526,1970,February,Aeroflot
527,1970,February,Dominicana
528,1970,March,Douglas
529,1970,March,Swissair
530,1970,April,Eastern Air Lines
531,1970,April,Douglas
532,1970,May,Japan Airlines
533,1970,July,Boeing
534,1970,July,Aeroflot
535,1970,July,Philippine Airlines
536,1970,August,Hawker Siddeley
537,1970,August,ALM
538,1970,September,Douglas
539,1970,September,Overseas National Airways
540,1970,September,Dan-Air
541,1970,September,Air Canada
542,1970,September,Douglas
543,1970,October,Flying Tiger Line
544,1970,October,Douglas
545,1970,November,LANSA
546,1970,November,Lockheed
547,1971,January,Aeroflot
548,1971,January,Indian Airlines
549,1971,January,Aeroflot
550,1971,March,Aeroflot
551,1971,May,Aviogenex
